Iroo,X REF,Century Century,AC Delco ,SuperCharge ,Bosch,Delkor ,NRMA/RAC V 
N12N24-3MF ,12N24-3 ,U1RMF ,SU1R260 ,MFU1R ,S3U1R-260 ,U1R-260 ,4052
N12N24-4MF ,12N24-4 ,U1MF ,SU1260 ,MFU1 ,S3U1-260 ,U1-260 ,4061
40B19R ,NS40 ,NS40Z ,S40B20R ,MF40B20 ,S340B19R ,40B19 ,1123
40B19L ,NS40ZL ,NS40ZL ,S40B20L ,MF40B20L ,S340B19L ,40B19L ,1124
42B19LDF ,NS40ZAL ,NS40ZS/LS ,S40B20RS/LS ,MF40ZA/ZAL ,S340B19LS/RS ,40B19LS/RS ,1121/1122 
N43MF ,N43 ,41/43 ,22NF-330D ,MF43 ,S422NF-330D ,22NF-330D ,1131
55B24R ,NS60 ,NS60 ,S55B24R ,MF55B24 ,S355B24R ,55B24R ,N/A 
55B24RS ,NS60A ,NS60S ,S55B24RS ,MF55B24RS ,S355B24RS ,55B24RS ,2135
55B24L ,NS60L ,NS60L ,S55B24L ,MF55B24L ,S355B24L ,55B24L ,N/A 
55B24LS ,NS60AL ,NS60LS ,S55B24LS ,MF55B24LS ,S355B24LS ,55B24LS ,2136
50D23LMF ,50D23L ,50D20L ,S50D20L ,MF50D20L ,S450D23L ,50D20L ,N/A 
CMF65AR ,N50 ,58,S22F520SMF ,MF51 ,S322-F520 ,22F520 ,2502
CMF65AL ,N51 ,57,S22FR520SMF ,MF50 ,S322-FR520 ,22FR520 ,2501
75D23R ,55D23R ,55D23R ,S55D23R ,MF75D23R ,S355D23R ,55D23R ,2543
75D23L ,55D23L ,55D23L ,S55D23L ,MF75D23L ,S355D23L ,55D23L ,2544
85D26R ,N52 ,NS70 ,S80D26R ,MF80D26R ,S490D26R ,NX110-5MF ,4503
85D26L ,N53 ,NS70L ,S80D26L ,MF80D26L ,S490D26L ,NX1105-LMF ,4504
65D31R ,N70ZZ ,N70Z ,S75D31R ,MF70ZZ ,S375D31R ,95D31R ,4703
65D31L ,N70ZZL ,N70ZL ,S75D31L ,MF70ZZL ,S375D31L ,95D31L ,4704
105D31R ,N70ZZ ,N70ZZ ,S95D31RHD ,MF95D31RHD ,S395D31R ,27H-710 ,4703
105D31L ,N70ZZL ,N70ZZL ,S95D31LHD ,MF95D31LHD ,S395D31L ,27HR-710 ,4704
31S-950 ,31-900T ,86ZT ,S31900MF ,MF31-930 ,S331-900T ,31-900T ,N/A 
31P-950 ,31-900 ,86Z ,S31901MF ,MF31-931 ,S331-900 ,31-900 ,N/A 
CMFN100 ,N100 ,N100 ,SN100 ,N100 ,S395E41/S4N100 ,N100MF ,N/A 
CMFN100L ,N100L ,N100L ,SN100L ,N/A ,N/A ,N100LMF ,N/A 
CMF140 ,N120 ,N120 ,SN120 ,MFN120 ,S3115F51/S4N120 ,115F51 ,4922
CMF170 ,N150 ,N150 ,SN150 ,MFN150 ,S3145G51/S4N150 ,165G51 ,4952
64317,N94 ,94,S69032 ,MFN94 ,S368032 ,N/A ,N/A 
CMF220 ,N200 ,N200 ,SN200 ,MFN200 ,S3190H52/S4N200 ,8D-1300 ,4998
54316,N44 ,DIN44LMF ,S54316 ,MF44 ,S354316 ,54316,3372
55457,N55 ,DIN53LMF ,S54519 ,MF55 ,S355457 ,90R-500 ,3552
56219,N55H ,DIN53LHMF ,S56030 ,MF55H ,S356219 ,56219,N/A 
56318,N66 ,DIN65LMF ,S56318 ,MF66 ,S356318/S5575035 ,56530,3662
57412,N66H ,DIN65LH ,S56638 ,MF66H ,S356638/S5574035 ,56638,N/A 
57413,N66RH ,DIN65RH ,S56640 ,MF66HR ,S356640/S5574135 ,56640,3666
58014,N75 ,DIN75LMF ,S58014 ,MF77 ,S358014 ,58014,N/A 
58515,N88 ,DIN85LMF ,S58515 ,MF88 ,S358515 ,58515,3882
60038,DIN100 ,DIN92LMF ,S60038 ,MF88H ,S460038 ,60038,3884
65-850 ,65-7MF ,N65D ,S65-7 ,MF65 ,S465-7 ,65-7MF ,N/A 
22F-610 ,N51 ,68,22F660SMF ,MF51 ,S422F-610/S522F-680 ,22F-610 ,2502
22FR-610 ,N50 ,67,22FR660SMF ,MF50 ,S422FR-610/S522FR-680 ,22FR-610 ,2501
95D23L ,55D23L ,75D23L ,S70D23L ,MF75D23L ,S480D23L/S590D23L ,80D23L ,2544
125D31L ,N70ZZL ,N70ZZLH ,S95D31LHD ,MF95D31L ,S5125D31L ,125D31L ,4704
125D31R,N70ZZL ,N70ZZH ,S95D31RHD ,MF95D31R ,S5125D31R,125D31R,4703
AGM60 ,AGM55H ,DIN53LHMF AGM ,S56090AGM ,N/A ,S6LN2 ,LN2 ,N/A 
AGM70 ,AGM66H ,DIN65LHMF AGM ,S57090AGM ,N/A ,S6LN3 ,LN3 ,5536
AGM100 ,AGM60038 ,DIN92 AGM ,S59590AGM ,N/A ,S6LN 5,LN5 ,N/A 
