Shit,Brand,Model,Version,Year,GOOD,BETTER,Column
,ALFA ROMEO ,33,NA,1974-92 ,54316,N44 ,
,ALFA ROMEO ,75,NA,1985-92 ,56318,N66 ,
,ALFA ROMEO ,90,NA,1985-92 ,56318,N66 ,
,ALFA ROMEO ,147 Diesel / Petrol ,NA,03/2006- ,55457,N55 ,
,ALFA ROMEO ,156 inc Twin Spark / Wagon & GTA ,NA,1999- ,55457,N55 ,
,ALFA ROMEO ,159 JTDM ,NA,06/2006- ,58014,N75 ,
,ALFA ROMEO ,159 JTDM Diesel ,NA,07/2008- ,58014,N75 ,
,ALFA ROMEO ,164,NA,1989-95 ,55457,N55 ,
,ALFA ROMEO ,166,NA,08/1999-07/2004 ,56318,N66 ,
,ALFA ROMEO ,166,NA,08/2004- ,60038,DIN100 ,
,ALFA ROMEO ,75TS ,NA,1985-92 ,56318,N66 ,
,ALFA ROMEO ,75V6 ,NA,1985-92 ,56318,N66 ,
,ALFA ROMEO ,Alfasud ,NA,1974-92 ,54316,N44 ,
,ALFA ROMEO ,Alfetta ,NA,1974-92 ,54316,N44 ,
,ALFA ROMEO ,GT 2D ,NA,01/2005- ,55457,N55 ,
,ALFA ROMEO ,GTV ,NA,1989-95 ,CMF65AR or 22FR520 ,N50 ,
,ALFA ROMEO ,GTV ,NA,2000- ,56318,N66 ,
,ALFA ROMEO ,GTV6 ,NA,1989-95 ,CMF65AR or 22FR520 ,N50 ,
,ALFA ROMEO ,Guiletta Sedan ,NA,07/1984-03/1986 ,54316,N44 ,
,ALFA ROMEO ,Guiletta (Stop Start) ,NA,2013- ,LN2 ,AGM 55 ,
,ALFA ROMEO ,Guiletta Hatchback ,NA,01/2011- ,56219,N55H (190 HIGH) ,
,ALFA ROMEO ,Mito ,NA,07/2009- ,54316,N44 (190 HIGH) ,
,ALFA ROMEO ,Mito ,NA,2013- ,LN2 ,AGM 55 ,
,ALFA ROMEO ,Sprint ,NA,1974-92 ,54316,N44 (175 HIGH) ,
,ALFA ROMEO ,Spider ,NA,1992-2000 ,56318,N66 ,
,ALFA ROMEO ,Spider Twin Spark 2.0 & 3.0/ Conv. ,NA,2000-09/2006 ,55457,N55 ,
,ALFA ROMEO ,Spider ,NA,10/2006- ,58014,N75 ,
,ASIA ,Rocsta ,NA,07/1993-03/1999 ,75D23L or 90D23L ,75D23L or 55D23L ,
,ASIA ,Rocsta (Diesel) ,NA,1992-93 ,105D31R ,N70ZZ ,
,ASIA ,Rocsta (Petrol) ,NA,1992-93 ,CMF65AL or 22F520 ,N51 ,
,ASTON MARTIN ,DB7 ,NA,10/1999-2005 ,60038,DIN100 ,
,ASTON MARTIN ,Vanquish ,NA,11/2002-2005 ,60038,DIN100 ,
,AUDI ,5+ 5 ,NA,1978- ,56318,N66 ,
,AUDI ,2.6,NA,1986-94 ,56318,N66 ,
,AUDI ,80,NA,1986-94 ,56318,N66 ,
,AUDI ,100,NA,1974-89 ,54316 - 55457 ,N44 / N55 ,
,AUDI ,100 6Cyl ,NA,19994- ,56318,N66 ,
,AUDI ,2.0E ,NA,1986-94 ,56318,N66 ,
,AUDI ,2.3E ,NA,1986-94 ,56318,N66 ,
,AUDI ,200T ,NA,1974-89 ,54316 - 55457 ,N44 / N55 ,
,AUDI ,80 4Cyl ,NA,1994- ,55457,N55 ,
,AUDI ,80 6Cyl ,NA,1994- ,56318,N66 ,
,AUDI ,A3 ,NA,1997- ,55457,N55 ,
,AUDI ,A3 1.4T ,NA,10/2008- ,56219,N55H (190 HIGH) ,
,AUDI ,A3 2.0T ,NA,07/2008- ,56638,N66H (190 HIGH) ,
,AUDI ,A4 ,NA,1995-98 ,56318,N66 ,
,AUDI ,A4 ,NA,06/2001-03/2005 ,58014,N75 ,
,AUDI ,A4 Avant ,NA,1995-98 ,56318,N66 ,
,AUDI ,A4 Quatro (Turbo B5) ,NA,1999- ,55457 - 56318 ,N55 / N66 ,
,AUDI ,A4 TDle (Diesel) ,NA,03/2010- ,60038 - 60038 ,DIN100 / DIN110 ,
,AUDI ,A4 V6 Sedan ,NA,1996- ,56318,N66 ,
,AUDI ,A5 Coupe ,NA,10/2007- ,58515 / 60038 ,N88 / DIN100 ,
,AUDI ,A6 ,NA,11/1997-08/004 ,58014,N75 ,
,AUDI ,A6 & A6 V8 ,NA,09/2004- ,58014,N75 ,
,AUDI ,A6 3.2 FSI ,NA,06/2005- ,60038,DIN100 ,
,AUDI ,A8 ,NA,05/1995-12/2008 ,60038,DIN100 ,
,AUDI ,A8 ,NA,01/2009- ,60038,DIN100 ,
,AUDI ,All Models ,NA,1967-73 ,CMF65AL or 22F520 ,N51 ,
,AUDI (Cont'd) ,Avanti ,NA,1983-97 ,56318,N66 ,
,AUDI (Cont'd) ,Avanti Wagon ,NA,1996,55457 / 56318 ,N55 / N66 ,
,AUDI (Cont'd) ,Fox 80 ,NA,1974-89 ,54316 / 55457 ,N44 / N55 ,
,AUDI (Cont'd) ,Q5 4Cyl ,NA,03/2009- ,56638 / 60038 ,N66H / DIN100 ,
,AUDI (Cont'd) ,Q5 V6 ,NA,03/2009- ,60038,DIN100 ,
,AUDI (Cont'd) ,Q7 ,NA,07/2006- ,60038 / ,DIN100 / DIN110 ,
,AUDI (Cont'd) ,Q7 All Models ,NA,07/2006- ,60038,DIN100 ,
,AUDI (Cont'd) ,Quattro - A4 ,NA,1983-97 ,56318,N66 ,
,AUDI (Cont'd) ,Quattro V8 ,NA,1990-92 ,56318,N66 ,
,AUDI (Cont'd) ,RS4 ,NA,05/2006- ,60038,DIN100 ,
,AUDI (Cont'd) ,S4 ,NA,1993- ,55457,N55 ,
